URL,案件名,単価,契約形態,最寄り駅,業界/職種・ポジション,職務内容,求めるスキル,扱う技術,精算,現場の環境,おすすめポイント,担当者コメント
https://freelance.levtech.jp/project/detail/40545/,【有名企業】サウンドコンポーザーの求人・案件,"〜500,000円",業務委託（フリーランス）,渋谷（東京都）,ソーシャルゲーム・コンシューマーゲーム,"
職務内容
開発/運用ゲームの楽曲制作を担当していただきます。
社外への制作依頼や管理・ディレクション作業をお任せすることもございます。
","
求めるスキル

・コンシューマーゲームまたは映画/ドラマなどの映像制作における楽曲、BGM制作経験
・各種音楽系ツールの知識と使用経験

【歓迎スキル】
・オーケストラなどの生楽器音源の収録経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

無



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中
40代活躍中
ゲーム好き歓迎
急募
従業員1000名以上の会社
取引実績あり

","総ユーザー数3000万人を超える 
大手ソーシャルゲーム会社での業務となります。 

世の中に面白いゲームを提供するために、 
クオリティをとことん追求する集団です。 

ゲーム開発会社出身者が多く、 
より面白いコンテンツを作ることにこだわっている企業で、 
ゲーム好きな方、積極的にコミュニケーションが取れる方、 
自らキャッチアップが出来る方を求めています。"
https://freelance.levtech.jp/project/detail/44658/,【Swift】アパレル系アプリケーション開発の求人・案件,"〜800,000円",業務委託（フリーランス）,浜松町（東京都）,アプリケーションエンジニア・SE (システムエンジニア),"
職務内容
・Swiftを用いてアパレル系アプリケーションの開発に携わっていただきます。
・主に下記作業をご担当いただきます。
　-基本設計以降の開発
　-既存システムのリプレイス
","
求めるスキル

・Swiftを用いたiOSアプリケーション開発実務経験1年以上
・Rxswiftを用いた開発実務経験
・Dagger2を用いた開発実務経験
・MVVMアーキテクチャ設計を用いた開発実務経験

【歓迎スキル】
・コミュニケーション能力

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

Swift



OS

iOS



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


150時間　～　200時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト
急募
BtoC向け

","新規事業の企画提案からアプリ開発まで、
幅広い事業を手がけている企業のアプリ開発案件でございます。

JavaやSwiftを用いたアプリ開発をメインに行なっており、
スキルによってはスマホアプリ開発の上流からのご経験を積んでいただけます。"
https://freelance.levtech.jp/project/detail/44158/,【Unity】ゲーム開発の求人・案件,"〜3,500円",派遣,原宿（東京都）,ソーシャルゲーム・プログラマー(PG),"
職務内容
・スマートフォンゲームにおける開発全般を担当していただきます。
","
求めるスキル

・ゲームの機能を一つ以上開発したことがある方
・チームメンバーとのコミュニケーションがとれる方
・2年以上のゲーム開発の実務経験
・Unityを触ったことがある方

【歓迎スキル】
・サーバーサイドの開発経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


その他ツール

Unity



",精算・お支払いは取得できませんでした,"
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中

","Webサービスからゲームまで、
幅広くシステム開発を行っている企業です。 

社内は風通しが良く、月の稼働も落ち着いております。

作業スペースも広く、社内の勉強会にも参加可能です。"
https://freelance.levtech.jp/project/detail/43567/,【PHP】マッチングアプリ新規開発の求人・案件,"〜650,000円",業務委託（フリーランス）,神保町（東京都）,SE (システムエンジニア)・プログラマー(PG),"
職務内容
・マッチングアプリの新規開発業務をご担当いただきます。
・アプリに使用するAPIの設定及び開発もご対応いただきます。
","
求めるスキル

・PHPのフレームワーク及びDBを使用した開発経験5年以上
・GCP又は AWS等のクラウドサービスの利用経験
・開発リーダーの経験

【歓迎スキル】
・Cloud Spannerの利用経験
・負荷分散の知見又は経験
・チューニング経験
・DevOps系知識、経験（Git、Jenkins、Chef、Ansible）

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

PHP



DB

MySQL



その他ツール

Git
,  Redmine
,  Docker



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

新規立ち上げ

","スマートフォンアプリ、ソーシャルゲーム、 
ナビゲーションシステム開発を自社内で行っており、 
幅広いジャンルで積極的にサービスを提供し続けていく企業です。 

少人数でアイディアや意見を出し合いながら開発をいたしますので、 
能動的な方がよりマッチいたします。 

全員で面白いモノを生み出していこうという考えの方が多く、 
フラットな環境のため、チームワークが非常に良いです。 

最新技術を取り入れることに積極的であり、 
様々なことにチャレンジできますので、幅広く経験したい方にオススメです。"
https://freelance.levtech.jp/project/detail/42522/,【AWS】仮想通貨構築支援の求人・案件,"〜750,000円",業務委託（フリーランス）,六本木一丁目（東京都）,インフラエンジニア,"
職務内容
・仮想通貨のAWS構築支援業務に携わっていただきます。
","
求めるスキル

・AWS設計、実装経験

【歓迎スキル】
・Ansible、Teraform、GCP、Nginxなどのご経験
・金融系の知見

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


その他ツール

AWS
,  Nginx
,  Ansible



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","レバテック実績のある企業でございます。

大規模経トランザクションをAWSで経験している方にとてもおすすめです。"
https://freelance.levtech.jp/project/detail/40324/,【進行管理ディレクション】ECサイトの求人・案件,"〜500,000円",業務委託（フリーランス）,新橋（東京都）,ECサイト,"
職務内容
自社開発したCMSを使用した、ECサイトの制作、開発のディレクションをご担当いただきます。
具体的には、下記のような作業をご担当いただきます。
・ディレクション全般
・各種マスタのマッピング
・ワイヤーフレーム作成
・サイトマップ作成
・スケジュール作成
・制作管理（指示出し、クオリティチェック）
・進捗管理（スケジュールの管理）
・外注管理
・クライアント折衝（backlogなどのツールで管理がメイン）
・デバック
","
求めるスキル

・ECサイト制作、開発経験
・サイト制作に関する基本的な知識
・Web業界でのディレクション経験

【歓迎スキル】
・ワイヤーフレーム作成
・制作管理
・進捗スケジュール管理
・外注管理

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
長期プロジェクト

","幅広い対応範囲があるため、柔軟な対応力ができる方にマッチする案件になります。
ECサイトの構築だけではなく、WMS（倉庫連携）、外部モール連携、その他外部サービスとの連携を対応いただきます。
ただ、基本的に常駐先のプロパーの方がサポートがあります。

自己成長への意欲・取り組みを重視していますすので、
業務での経験は少なくても、自己研鑽されていて、スキルを高めていきたい方におすすめです。"
https://freelance.levtech.jp/project/detail/44371/,【SQL】データ分析/アルゴリズム開発の求人・案件,"〜750,000円",業務委託（フリーランス）,虎ノ門（東京都）,データサイエンティスト,"
職務内容
・下記を行っていただきます。
-データから移動履歴/興味/年収推定/人の動向を分析
-データ処理/アルゴリズムの開発/修正
","
求めるスキル

・データサイエンティストとしての実務経験やデータ分析経験
・Python(もしくはR)/SQLの活用経験
・データマイニング/統計解析/機械学習などの知見/経験
・専門的に統計学/機械学習を学んだ経験

【歓迎スキル】
・位置情報/地理空間情報の活用経験
・AWSもしくはGoogle Cloud Plaformを活用した実務経験
・大規模分散処理の知見/経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

Python
SQL



その他ツール

AWS



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"独自のアルゴリズムを使用した、GPSデータ分析に携わっていただきます。

データサイエンティストとしての実務経験やデータ分析経験がある方にマッチします。"
https://freelance.levtech.jp/project/detail/41334/,【上流/PMO】カーシェアサービス向け新規開発の求人・案件,"〜670,000円",業務委託（フリーランス）,品川（東京都）,インフラエンジニア・サーバーエンジニア・SE (システムエンジニア)・PMO,"
職務内容
・Web/スマホアプリの新規開発をご担当いただきます。
・下記を行っていただきます。
-要件定義、基本設計
-開発ベンダーの作成物の品質チェック
-PHPソースの解析および改修
","
求めるスキル

・PHPでの開発経験3年以上
・要件定義～テストの経験
・ベンダー管理の経験

【歓迎スキル】
・Apache/PHPなどのミドルウェアの知見(インストール/ログ調査など)
・クラウド環境(AWS)上での開発経験
・スマホアプリの開発経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

PHP



その他ツール

Apache



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","レバテック実績有りの企業でございます｡

LAMPでの開発経験が3年以上あり、PMやPMO経験がある方にマッチします。"
https://freelance.levtech.jp/project/detail/42227/,【Unity/C++】有名スマートフォン向けゲーム開発の求人・案件,"〜800,000円",業務委託（フリーランス）,渋谷（東京都）,業界/職種は取得できませんでした,"
職務内容
・有名スマートフォンゲームの開発に携わって頂きます。
・設計から幅広く担当して頂きます。
・主な業務は下記の通りです。
　-ゲーム内イベント時の開発や運用
　-ゲーム外イベント（オフラインイベント）に向けた開発や運用
　-ディレクターやアーティストおよびQAチームとのMTG
　-開発効率を上げるツールや環境の設計や構築および運用
　-ビルド環境の自動化
※担当範囲は、スキルや経験および進捗状況により変動いたします。
","
求めるスキル

・Cocos2d-xからUnityへの移行を行った実務経験
【下記から1点必須】
・C++を用いたゲーム開発の実務経験
・設計の実務経験
・スクリプト言語の実務経験
・ネイティブアプリ開発の実務経験
・算術/幾何プログラム実装の実務経験
・ゲームエンジン開発の実務経験
・プラットフォーム開発の実務験
・モックアップ作成の実務経験
・CPU、GPU、メモリ、ネットワークの知見
・Linuxの知見

【歓迎スキル】
・プロダクトファーストの実務経験
・リーダブルコードの実務経験
・課題解決や業務改善および効率化の実務経験
・継続的なコードベース改善の実務経験
・GitHubを用いたチーム開発の実務経験
・JIRAやJenkinsおよびSlackの実務経験
・チューニングの実務経験
・CI/CD環境構築や自動化の実務経験
・レビューの実務経験
・リーダーやリードエンジニアの実務経験
・OSSなどでコントリビュートやオーナーシップの経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

C++
Java
C言語
Python
Ruby
Go言語
Swift
Kotlin



フレームワーク

Rails



DB

MySQL
Redis



OS

Android
Linux
iOS
Unix



その他ツール

AWS
,  Nginx
,  Unicorn
,  Jenkins
,  JIRA
,  Memcache
,  GitHub
,  Chef
,  Hadoop
,  Zabbix
,  Ansible
,  Hive



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"リクルーティングサイトやSNSおよびゲームなど、
様々なサービスを展開している企業でございます。

日本有数のソーシャルのプラットフォームでの経験を得られる現場です。

フラットな環境でのコミュニケーションを大切にしており、 
皆で面白いものを創り出そうという思いの方が多いため、 
俯瞰的な視点で意見や提案など能動的に行える方にご満足いただける現場です。

ノウハウを持った高いスキルのエンジニアが多数おり、
作業しながらスキルアップが出来ますので、成長意欲が高い方にオススメです。"
https://freelance.levtech.jp/project/detail/40085/,【Java/Scala】求人メディア開発の求人・案件,"〜950,000円",業務委託（フリーランス）,渋谷（東京都）,SE (システムエンジニア)・プログラマー(PG),"
職務内容
・ご経験やご希望に応じて上流から下流まで幅広く携わっていただきます。
・主にScalaを利用したウェブアプリケーション開発、および
　Google Cloud PlatformおよびAWSを利用した新業務ツールの開発、運用
　を行っていただきます。
","
求めるスキル

・ScalaもしくはJavaを用いたWEBアプリケーションの開発経験
・JVM系言語(Scala or Kotlin or Java)を用いた大規模システム設計経験
・Webアプリ開発経験通算3年以上
・CGP、AWS上での開発経験3年以上
・アジャイル(スクラムベース)での開発経験

【歓迎スキル】
・AWS上での開発経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

Python
SQL
Go言語
Scala
Apex



フレームワーク

Spark



OS

Linux



その他ツール

AWS
,  Git
,  GitHub
,  Docker
,  Hadoop
,  Ansible
,  BigQuery



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


150時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

30代活躍中
外国籍の方も活躍中
長期プロジェクト
取引実績あり
ベンチャー企業

","大手事業会社での常駐案件でございます。

大規模なサイト制作や幅広い開発作業をご担当いただきますので、
一貫した開発経験を積んでいきたい方にお薦めでございます。"
